date,pol_hard-coal,pol_gas,pol_oil,pol_nuclear,pol_other-non-renewables,pol_wind-onshore,pol_wind-offshore,pol_solar-pv,pol_other-renewables,pol_failure
2033-01-01 00:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10930.998,10126.1,-0.0,2183.0,-0.0
2033-01-01 01:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,11054.901,9951.7,-0.0,2183.0,-0.0
2033-01-01 02:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10986.066,9581.1,-0.0,2183.0,-0.0
2033-01-01 03:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10889.697,8284.0,-0.0,2183.0,-0.0
2033-01-01 04:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10793.328,6420.1,-0.0,2183.0,-0.0
2033-01-01 05:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10655.658,5569.9,-0.0,2183.0,-0.0
2033-01-01 06:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10283.949,4741.5,-0.0,2183.0,-0.0
2033-01-01 07:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,9719.502,4294.6,-0.0,2183.0,-0.0
2033-01-01 08:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,9017.385,3989.4,458.58,2183.0,-0.0
2033-01-01 09:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,8177.598,3237.3,871.302,2183.0,-0.0
2033-01-01 10:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,7282.743,2180.0,825.444,2183.0,-0.0
2033-01-01 11:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,6401.655,1962.0,710.799,2183.0,-0.0
2033-01-01 12:00:00,-0.0,.8240000025800005,-0.0,2110.0,-0.0,5754.606,2212.7,687.87,2183.0,-0.0
2033-01-01 13:00:00,-0.0,557.4839999999995,-0.0,2110.0,-0.0,4956.12,2496.1,550.296,2183.0,-0.0
2033-01-01 14:00:00,-0.0,2222.1540000000005,-0.0,2110.0,-0.0,4171.401,1983.8,114.645,2183.0,-0.0
2033-01-01 15:00:00,-0.0,4042.0750000000007,-0.0,2110.0,-0.0,3785.925,1417.0,-0.0,2183.0,-0.0
2033-01-01 16:00:00,-0.0,4799.5830000000005,-0.0,2110.0,-0.0,3455.517,882.9,-0.0,2183.0,-0.0
2033-01-01 17:00:00,-0.0,5403.125,-0.0,2110.0,-0.0,3097.575,403.3,-0.0,2183.0,-0.0
2033-01-01 18:00:00,-0.0,5817.71,-0.0,2110.0,-0.0,2725.866,119.9,-0.0,2183.0,-0.0
2033-01-01 19:00:00,-0.0,5817.71,-0.0,2110.0,-0.0,2395.458,54.5,-0.0,2183.0,-0.0
2033-01-01 20:00:00,-0.0,5170.849,-0.0,2110.0,-0.0,2106.351,21.8,-0.0,2183.0,-0.0
2033-01-01 21:00:00,-0.0,4428.522999999999,-0.0,2110.0,-0.0,1803.477,-0.0,-0.0,2183.0,-0.0
2033-01-01 22:00:00,-0.0,3177.232,-0.0,2110.0,-0.0,1431.768,-0.0,-0.0,2183.0,-0.0
2033-01-01 23:00:00,-0.0,5746.873,-0.0,2110.0,-0.0,1115.127,-0.0,-0.0,2183.0,-0.0
2033-01-02 00:00:00,-0.0,5509.679,-0.0,2110.0,-0.0,867.321,-0.0,-0.0,2183.0,-0.0
2033-01-02 01:00:00,-0.0,5264.983,-0.0,2110.0,-0.0,702.117,10.9,-0.0,2183.0,-0.0
2033-01-02 02:00:00,-0.0,5185.386,-0.0,2110.0,-0.0,578.214,65.4,-0.0,2183.0,-0.0
2033-01-02 03:00:00,-0.0,5308.721,-0.0,2110.0,-0.0,509.379,337.9,-0.0,2183.0,-0.0
2033-01-02 04:00:00,-0.0,5246.655000000001,-0.0,2110.0,-0.0,481.845,1144.5,-0.0,2183.0,-0.0
2033-01-02 05:00:00,-0.0,5686.886,-0.0,2110.0,-0.0,578.214,2408.9,-0.0,2183.0,-0.0
2033-01-02 06:00:00,-0.0,5817.71,-0.0,2110.0,-0.0,715.884,3804.1,-0.0,2183.0,-0.0
