date,pol_hard-coal,pol_gas,pol_oil,pol_nuclear,pol_other-non-renewables,pol_wind-onshore,pol_wind-offshore,pol_solar-pv,pol_other-renewables,pol_failure
2025-01-01 00:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10875.93,-0.0,-0.0,2183.0,-0.0
2025-01-01 01:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,11013.6,-0.0,-0.0,2183.0,-0.0
2025-01-01 02:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10944.765,-0.0,-0.0,2183.0,-0.0
2025-01-01 03:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10834.629,-0.0,-0.0,2183.0,-0.0
2025-01-01 04:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10710.726,-0.0,-0.0,2183.0,-0.0
2025-01-01 05:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10545.522,-0.0,-0.0,2183.0,-0.0
2025-01-01 06:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,10132.512,-0.0,-0.0,2183.0,-0.0
2025-01-01 07:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,9526.764,-0.0,-0.0,2183.0,-0.0
2025-01-01 08:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,8769.579,-0.0,458.58,2183.0,-0.0
2025-01-01 09:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,7902.258,-0.0,871.302,2183.0,-0.0
2025-01-01 10:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,6993.636,-0.0,848.373,2183.0,-0.0
2025-01-01 11:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,6098.781,-0.0,733.728,2183.0,-0.0
2025-01-01 12:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,5437.965,-0.0,710.799,2183.0,-0.0
2025-01-01 13:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,4639.479,-0.0,573.225,2183.0,-0.0
2025-01-01 14:00:00,-0.0,861.2939999999994,-0.0,2110.0,-0.0,3896.061,-0.0,114.645,2183.0,-0.0
2025-01-01 15:00:00,-0.0,1969.3470000000002,-0.0,2110.0,-0.0,3565.653,-0.0,-0.0,2183.0,-0.0
