date,ibe_battery_prod,ibe_hydro-reservoir_prod,ibe_hydro-pumped_prod,ibe_battery_cons,ibe_hydro-reservoir_cons,ibe_hydro-pumped_cons,ibe_battery_soc,ibe_hydro-reservoir_soc,ibe_hydro-pumped_soc
2025-01-02 17:00:00,0.0,2279.5648600000004,10119.0,-0.0,-0.0,-0.0,320.0,12845268.03514,6289322.4873600025
2025-01-02 18:00:00,0.0,3411.1796399999985,10119.0,-0.0,-0.0,-0.0,320.0,12841857.8555,6279204.4873600025
2025-01-02 19:00:00,0.0,2403.588950000001,10119.0,-0.0,-0.0,-0.0,320.0,12839455.266549999,6269086.4873600025
2025-01-02 20:00:00,0.0,0.0,9426.60836,-0.0,-0.0,-0.0,320.0,12839456.266549999,6259660.8790000025
2025-01-02 21:00:00,0.0,0.0,6569.4366500000015,-0.0,-0.0,-0.0,320.0,12839457.266549999,6253092.442350003
2025-01-02 22:00:00,0.0,0.0,2520.3209399999982,-0.0,-0.0,-0.0,320.0,12839458.266549999,6250573.121410003
2025-01-02 23:00:00,0.0,0.0,-407.8957900000016,-0.0,-0.0,407.8957900000016,320.0,12839459.266549999,6250982.017200003
2025-01-03 00:00:00,0.0,0.0,-3582.9794399999982,-0.0,-0.0,3582.9794399999982,320.0,12839460.266549999,6254565.996640003
2025-01-03 01:00:00,0.0,0.0,-5742.27982,-0.0,-0.0,5742.27982,320.0,12839461.266549999,6260309.276460003
2025-01-03 02:00:00,0.0,0.0,-6990.27982,-0.0,-0.0,6990.27982,320.0,12839462.266549999,6267300.556280003
2025-01-03 03:00:00,0.0,0.0,-7364.545979999999,-0.0,-0.0,7364.545979999999,320.0,12839463.266549999,6274666.102260003
2025-01-03 04:00:00,0.0,0.0,-7117.595410000002,-0.0,-0.0,7117.595410000002,320.0,12839464.266549999,6281784.6976700025
2025-01-03 05:00:00,0.0,0.0,-6119.34446,-0.0,-0.0,6119.34446,320.0,12839465.266549999,6287905.042130003
2025-01-03 06:00:00,0.0,0.0,-3712.6600500000013,-0.0,-0.0,3712.6600500000013,320.0,12839466.266549999,6291618.702180003
2025-01-03 07:00:00,0.0,0.0,-99.67090999999982,-0.0,-0.0,99.67090999999982,320.0,12839467.266549999,6291719.373090003
2025-01-03 08:00:00,0.0,0.0,3134.334900000001,-0.0,-0.0,-0.0,320.0,12839468.266549999,6288586.038190003
2025-01-03 09:00:00,0.0,0.0,3436.2755,-0.0,-0.0,-0.0,320.0,12839469.266549999,6285150.762690002
2025-01-03 10:00:00,0.0,0.0,2696.0071200000016,-0.0,-0.0,-0.0,320.0,12839470.266549999,6282455.755570002
