date,ben_hard_coal,ben_gas,ben_oil,ben_other_non_renewables,ben_biomass,ben_nuclear,ben_wind_onshore,ben_wind_offshore,ben_solar_pv,ben_other-renewables,ben_failure
2025-01-01 00:00:00,359.6843000000008,18500.9,-0.0,-0.0,2088.16,-0.0,370.5337,823.102,-0.0,1009.62,-0.0
2025-01-01 01:00:00,-0.0,18325.5824,-0.0,-0.0,2088.16,-0.0,348.7376,839.9,-0.0,1009.62,-0.0
2025-01-01 02:00:00,-0.0,17603.9795,-0.0,-0.0,2088.16,-0.0,326.9415,848.299,-0.0,1009.62,-0.0
2025-01-01 03:00:00,-0.0,17406.3685,-0.0,-0.0,2088.16,-0.0,326.9415,755.91,-0.0,1009.62,-0.0
2025-01-01 04:00:00,-0.0,17774.25845,-0.0,-0.0,2088.16,-0.0,337.83955,655.122,-0.0,1009.62,-0.0
2025-01-01 05:00:00,315.75434999999925,18500.9,-0.0,-0.0,2088.16,-0.0,359.63565,587.93,-0.0,1009.62,-0.0
2025-01-01 06:00:00,1209.9482500000013,18500.9,-0.0,-0.0,2088.16,-0.0,381.43175,503.94,-0.0,1009.62,-0.0
2025-01-01 07:00:00,2152.33035,18500.9,-0.0,-0.0,2088.16,-0.0,359.63565,386.354,-0.0,1009.62,-0.0
2025-01-01 08:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,445.7255500000009,316.04345,327.561,-0.0,1009.62,-0.0
2025-01-01 09:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,112.3290600000008,239.7571,335.96,766.28384,1009.62,-0.0
2025-01-01 10:00:00,1354.8099099999963,18500.9,-0.0,-0.0,2088.16,-0.0,294.24735,562.733,2442.52974,1009.62,-0.0
2025-01-01 11:00:00,98.40132000000085,18500.9,-0.0,-0.0,2088.16,-0.0,217.961,394.753,3927.20468,1009.62,-0.0
2025-01-01 12:00:00,-0.0,18464.64717,-0.0,-0.0,2088.16,-0.0,163.47075,251.97,4406.13208,1009.62,-0.0
2025-01-01 13:00:00,1332.232939999998,18500.9,-0.0,-0.0,2088.16,-0.0,152.5727,176.379,3065.13536,1009.62,-0.0
2025-01-01 14:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,59.11488000000074,152.5727,151.182,1580.46042,1009.62,-0.0
2025-01-01 15:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,1666.8148600000009,152.5727,117.586,287.35644,1009.62,-0.0
2025-01-01 16:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,3058.672250000001,163.47075,109.187,-0.0,1009.62,-0.0
2025-01-01 17:00:00,2670.99,18500.9,-0.0,327.4702500000003,2088.16,4415.0,163.47075,92.389,-0.0,1009.62,-0.0
2025-01-01 18:00:00,2670.99,18500.9,-0.0,299.77420000000075,2088.16,4415.0,174.3688,109.187,-0.0,1009.62,-0.0
2025-01-01 19:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,3661.477150000001,185.26685,117.586,-0.0,1009.62,-0.0
2025-01-01 20:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,2609.479050000001,207.06295,100.788,-0.0,1009.62,-0.0
2025-01-01 21:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,2155.278950000001,228.85905,67.192,-0.0,1009.62,-0.0
2025-01-01 22:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,1243.572200000001,174.3688,92.389,-0.0,1009.62,-0.0
2025-01-01 23:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,2242.5691000000006,196.1649,33.596,-0.0,1009.62,-0.0
2025-01-02 00:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,646.6748500000008,250.65515,-0.0,-0.0,1009.62,-0.0
2025-01-02 01:00:00,2367.5823999999993,18500.9,-0.0,-0.0,2088.16,-0.0,348.7376,-0.0,-0.0,1009.62,-0.0
2025-01-02 02:00:00,1697.0921500000004,18500.9,-0.0,-0.0,2088.16,-0.0,403.22785,-0.0,-0.0,1009.62,-0.0
2025-01-02 03:00:00,1523.1097499999996,18500.9,-0.0,-0.0,2088.16,-0.0,490.41225,16.798,-0.0,1009.62,-0.0
2025-01-02 04:00:00,1958.6175999999978,18500.9,-0.0,-0.0,2088.16,-0.0,523.1064,33.596,-0.0,1009.62,-0.0
2025-01-02 05:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,531.4394000000008,566.6986,67.192,-0.0,1009.62,-0.0
2025-01-02 06:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,2168.555150000001,621.18885,117.586,-0.0,1009.62,-0.0
2025-01-02 07:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,2478.866000000001,653.883,159.581,-0.0,1009.62,-0.0
2025-01-02 08:00:00,2670.99,18500.9,-0.0,1115.8640999999989,2088.16,4415.0,632.0869,176.379,-0.0,1009.62,-0.0
2025-01-02 09:00:00,2670.99,18500.9,-0.0,1229.0705099999996,2088.16,4415.0,577.59665,176.379,766.28384,1009.62,-0.0
2025-01-02 10:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,4243.512560000001,588.4947,58.793,2442.52974,1009.62,-0.0
2025-01-02 11:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,2276.4951300000016,446.82005,83.99,4454.02482,1009.62,-0.0
2025-01-02 12:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,883.2462500000008,359.63565,142.783,5507.6651,1009.62,-0.0
2025-01-02 13:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,1173.598660000001,414.1259,209.975,5076.63044,1009.62,-0.0
2025-01-02 14:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,2891.6382200000007,479.5142,302.364,3208.81358,1009.62,-0.0
2025-01-02 15:00:00,2670.99,18500.9,-0.0,187.90691999999945,2088.16,4415.0,544.9025,470.344,814.17658,1009.62,-0.0
2025-01-02 16:00:00,2670.99,18500.9,-0.0,508.1436999999996,2088.16,4415.0,719.2713,713.915,-0.0,1009.62,-0.0
2025-01-02 17:00:00,2670.99,18500.9,-0.0,208.10574999999972,2088.16,4415.0,926.33425,923.89,-0.0,1009.62,-0.0
2025-01-02 18:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,3417.779550000001,1187.88745,1150.663,-0.0,1009.62,-0.0
2025-01-02 19:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,2092.2099500000004,1318.66405,1209.456,-0.0,1009.62,-0.0
2025-01-02 20:00:00,2670.99,18500.9,-0.0,-0.0,2088.16,410.5408000000009,1351.3582,1419.431,-0.0,1009.62,-0.0
